case_id,damage_present,notch_x,notch_depth,notch_width,length,density,youngs_modulus
0001,y,1.7761407976883696,0.0005,0.0006,3.0,2700,70000000000.0
0002,y,1.8163940574932254,0.0001,0.0011,3.0,2700,70000000000.0
0003,y,1.7768170334121292,0.0008,0.0009,3.0,2700,70000000000.0
0004,y,1.711587046119568,0.0009,0.0006,3.0,2700,70000000000.0
0005,y,1.718977452792583,0.0002,0.0006,3.0,2700,70000000000.0
0006,y,1.8145765941378094,0.0009,0.0001,3.0,2700,70000000000.0
0007,y,1.7941091630602728,0.0009,0.0003,3.0,2700,70000000000.0
0008,y,1.8355,0.0007,0.0006,3.0,2700,70000000000.0
0009,y,1.730414104112195,0.0003,0.0002,3.0,2700,70000000000.0
0010,y,1.731607278132005,0.0005,0.0011,3.0,2700,70000000000.0
0011,y,1.7976581139420416,0.0009,0.0012,3.0,2700,70000000000.0
0012,y,1.791105764457029,0.0009,0.0008,3.0,2700,70000000000.0
0013,y,1.695753743316886,0.0003,0.0009,3.0,2700,70000000000.0
0014,y,1.832953491096813,0.0001,0.0003,3.0,2700,70000000000.0
0015,y,1.7539485116959754,0.0006,0.0012,3.0,2700,70000000000.0
0016,y,1.7127202707010405,0.0009,0.0002,3.0,2700,70000000000.0
0017,y,1.6545,0.001,0.0012,3.0,2700,70000000000.0
0018,y,1.7974682368296202,0.0005,0.0002,3.0,2700,70000000000.0
0019,y,1.7731378838228984,0.0002,0.0004,3.0,2700,70000000000.0
0020,y,1.6953862686251913,0.0004,0.0011,3.0,2700,70000000000.0
0021,y,1.6545,0.0003,0.0002,3.0,2700,70000000000.0
0022,y,1.7365811560980708,0.0005,0.0005,3.0,2700,70000000000.0
0023,y,1.759423852948803,0.0003,0.0004,3.0,2700,70000000000.0
0024,y,1.6568257209721027,0.0004,0.0006,3.0,2700,70000000000.0
0025,y,1.732093848230352,0.0005,0.0003,3.0,2700,70000000000.0
0026,y,1.7905896091283906,0.001,0.0001,3.0,2700,70000000000.0
0027,y,1.7124559737763316,0.0005,0.0008,3.0,2700,70000000000.0
0028,y,1.7962285570847802,0.0003,0.0011,3.0,2700,70000000000.0
0029,y,1.750569813690398,0.0007,0.0008,3.0,2700,70000000000.0
