case_id,damage_present,notch_x,notch_depth,notch_width,length,density,youngs_modulus
0001,y,1.6956272329654352,0.0008,0.0007,3.0,2700,70000000000.0
0002,y,1.821719190647324,0.0008,0.0008,3.0,2700,70000000000.0
0003,y,1.7927372904186367,0.0009,0.0011,3.0,2700,70000000000.0
0004,y,1.762011921377177,0.0008,0.0011,3.0,2700,70000000000.0
0005,y,1.6895924199732364,0.0009,0.0008,3.0,2700,70000000000.0
0006,y,1.6686078527501835,0.001,0.0012,3.0,2700,70000000000.0
0007,y,1.7338651406003378,0.0008,0.001,3.0,2700,70000000000.0
0008,y,1.6565685734384763,0.001,0.0009,3.0,2700,70000000000.0
0009,y,1.6948953348383047,0.001,0.001,3.0,2700,70000000000.0
0010,y,1.704844282414228,0.001,0.0012,3.0,2700,70000000000.0
0011,y,1.7455036044120777,0.0007,0.0012,3.0,2700,70000000000.0
0012,y,1.795979394127548,0.0009,0.0009,3.0,2700,70000000000.0
0013,y,1.688763953753146,0.0007,0.0009,3.0,2700,70000000000.0
0014,y,1.8200784026798085,0.001,0.0009,3.0,2700,70000000000.0
0015,y,1.7033645602156442,0.0007,0.0011,3.0,2700,70000000000.0
0016,y,1.814756348669579,0.0009,0.0008,3.0,2700,70000000000.0
0017,y,1.716819794029176,0.001,0.0009,3.0,2700,70000000000.0
0018,y,1.7097677179539987,0.001,0.0011,3.0,2700,70000000000.0
0019,y,1.7289623595360568,0.0007,0.0008,3.0,2700,70000000000.0
0020,y,1.799690798625486,0.001,0.0009,3.0,2700,70000000000.0
0021,y,1.77971767997671,0.0008,0.0009,3.0,2700,70000000000.0
0022,y,1.8298458116362897,0.0007,0.0009,3.0,2700,70000000000.0
0023,y,1.7971168860937248,0.0008,0.0008,3.0,2700,70000000000.0
0024,y,1.7459591003541197,0.0008,0.0009,3.0,2700,70000000000.0
0025,y,1.7900008689248614,0.001,0.0008,3.0,2700,70000000000.0
0026,y,1.7333183768019584,0.001,0.0008,3.0,2700,70000000000.0
0027,y,1.8170601403967475,0.0008,0.0007,3.0,2700,70000000000.0
0028,y,1.6667359875890193,0.0007,0.0007,3.0,2700,70000000000.0
0029,y,1.7782800612268017,0.001,0.001,3.0,2700,70000000000.0
0030,y,1.7785694335569777,0.0007,0.0007,3.0,2700,70000000000.0
0031,y,1.672828041762533,0.0008,0.001,3.0,2700,70000000000.0
0032,y,1.678333138635862,0.0007,0.0008,3.0,2700,70000000000.0
0033,y,1.74584207216467,0.0007,0.0007,3.0,2700,70000000000.0
0034,y,1.7546037655410778,0.0007,0.0011,3.0,2700,70000000000.0
0035,y,1.8082851567442166,0.0009,0.0007,3.0,2700,70000000000.0
0036,y,1.7574330334949737,0.0009,0.0008,3.0,2700,70000000000.0
0037,y,1.749848864806384,0.0009,0.001,3.0,2700,70000000000.0
0038,y,1.6776282963182085,0.0009,0.0011,3.0,2700,70000000000.0
